"siteno","station_nm","coords.x1","coords.x2"
"08068000","W Fk San Jacinto Rv nr Conroe",-95.4571616,30.24465738
"02319800","SUWANNEE RIVER AT DOWLING PARK",-83.24958439,30.2449425
"08158000","Colorado Rv at Austin",-97.6800556,30.24613889
"08155541","W Bouldin Ck at Oltorf Rd",-97.7691667,30.24666667
"08153000","Pedernales Rv at Stonewall",-98.6669773,30.250202
"08070500","Caney Ck nr Splendora",-95.3024361,30.25965789
"08158035","Boggy Ck at Webberville Rd",-97.7125,30.26305556
"08155400","Barton Ck abv Barton Spgs at Austin",-97.772228,30.26354168
"02326900","ST. MARKS RIVER NEAR NEWPORT",-84.1482508,30.2714311
"08155240","Barton Ck at Lost Ck Blvd nr Austin",-97.8447296,30.2740957
"08156800","Shoal Ck at W 12th St",-97.7502834,30.27659704
"08158600","Walnut Ck at Webberville Rd",-97.655003,30.2832642
"08157500","Waller Ck at 23rd St",-97.7338942,30.28576347
"08158030","Boggy Ck at Manor Rd",-97.7086111,30.2861111
"08153500","Pedernales Rv nr Johnson City",-98.3994674,30.29186695
"08155200","Barton Ck at SH 71 nr Oak Hill",-97.925565,30.29631587
"08157000","Waller Ck at 38th St",-97.7269497,30.29715196
"08030500","Sabine Rv nr Ruliff",-93.7437784,30.30381684
"08110000","Yegua Ck nr Somerville",-96.5074683,30.3218773
"08156910","Waller Ck at Koenig Lane",-97.7227778,30.32277778
"02315500","SUWANNEE RIVER AT WHITE SPRINGS",-82.7381826,30.3257812
"08016800","BEAR HEAD CK NR STARKS",-93.6290536,30.33325975
"08070000","E Fk San Jacinto Rv nr Cleveland",-95.1040999,30.33659809
"08109700","Middle Yegua Ck nr Dime Box",-96.9047037,30.33937764
"08067650","W Fk San Jacinto Rv bl Lk Conroe nr Conroe",-95.542998,30.34215289
"08156675","Shoal Ck at Silverway Dr",-97.7388889,30.35416667
"08041000","Neches Rv at Evadale",-94.0932373,30.35576378
"08110200","Brazos Rv at Washington",-96.1552366,30.36131908
"02326500","AUCILLA RIVER AT LAMONT",-83.80682559,30.36992847
"02315520","SWIFT CREEK AT FACIL FLA",-82.79985119,30.3707788
"08154700","Bull Ck at Loop 360 nr Austin",-97.7847301,30.37214825
"07386000","BYU CARENCRO NR SUNSET",-92.0431756,30.37658758
"02330000","OCHLOCKONEE RIVER NR BLOXHAM",-84.6549109,30.38325266
"02359500","ECONFINA CREEK NEAR BENNETT",-85.5565932,30.3846406
"02319500","SUWANNEE RIVER AT ELLAVILLE",-83.1718058,30.38466196
"08154510","Colorado Rv bl Mansfield Dam",-97.9080665,30.39186795
"02315550","SUWANNEE RIVER AT SUWANNEE SPRINGS FLA",-82.9331875,30.3929988
